Fish,MorphSex,Population,FoodCondition,GnRH1Ct_RowA,GnRH1Ct_RowB,GnRH1Ct_RowC,GnRH1_CtAvg,GnRH1_CtSD,g1.GAPDHCt_RowD,g1.GAPDHCt_RowE,g1.GAPDHCt_RowF,g1.GAPDH_CtAvg,g1.GAPDH_CtSD
Nico,OM,F+OM,Food,23.017,22.946,22.891,22.951,0.063,24.291,24.204,24.270,24.255,0.045
Percy,OM,F+OM,Food,27.054,26.699,27.261,27.005,0.284,24.808,24.836,24.902,24.848,0.048
Clairesse,F,F+OM,Food,26.331,26.301,26.578,26.403,0.152,23.868,23.670,23.687,23.741,0.110
Annabeth,F,F+OM,Food,26.016,26.362,26.185,26.188,0.173,26.527,26.611,26.576,26.571,0.042
TheDoctor,F,F+SM,NoFood,26.077,26.156,26.186,26.140,0.056,24.944,25.064,25.048,25.019,0.065
RoseTyler,F,F+SM,NoFood,25.308,25.374,25.314,25.332,0.036,25.300,25.314,25.363,25.326,0.033
MickeySmith,SM,F+SM,NoFood,26.654,26.609,26.859,26.707,0.133,24.710,24.660,24.743,24.704,0.042
King,SM,F+SM,NoFood,25.119,25.226,25.313,25.219,0.097,27.225,27.028,27.098,27.117,0.100
Luz,F,F+SM,NoFood,23.124,23.258,23.143,23.175,0.073,24.204,24.272,24.204,24.227,0.039
Eda,F,F+SM,NoFood,25.846,26.001,25.963,25.937,0.081,26.429,26.504,26.226,26.386,0.144
Daphne,SM,F+SM,Food,26.491,26.713,26.859,26.688,0.185,26.134,26.277,25.968,26.126,0.155
Velma,F,F+SM,Food,25.354,25.553,25.662,25.523,0.156,23.787,23.659,23.650,23.699,0.076
Shaggy,SM,F+SM,Food,25.056,25.125,25.077,25.086,0.035,25.415,25.426,25.373,25.405,0.028
Scooby,F,F+SM,Food,25.642,25.550,25.517,25.570,0.065,24.971,25.080,25.050,25.034,0.056
Dipper,OM,F+OM,NoFood,24.432,24.074,24.123,24.210,0.194,23.395,23.430,23.335,23.387,0.048
Wendy,F,F+OM,NoFood,26.485,26.290,26.206,26.327,0.143,25.646,25.616,25.628,25.630,0.015
Waddles,OM,F+OM,NoFood,24.765,24.795,24.468,24.676,0.181,25.692,25.868,25.885,25.815,0.107
Mabel,F,F+OM,NoFood,24.527,24.547,24.374,24.483,0.095,26.429,26.384,26.200,26.338,0.121
Katara,F,F+SM,Food,24.715,24.722,24.830,24.756,0.065,25.054,25.145,25.168,25.122,0.060
Sokka,SM,F+SM,Food,25.012,24.921,25.085,25.006,0.082,25.227,25.384,25.240,25.284,0.087
Toph,F,F+SM,Food,24.760,24.930,24.871,24.853,0.086,26.030,25.761,25.978,25.923,0.142
Lefty,F,F+OM,NoFood,25.104,24.953,25.169,25.075,0.111,25.896,25.962,25.903,25.920,0.037
Goob,OM,F+OM,NoFood,25.436,25.487,25.547,25.490,0.056,26.116,25.928,25.983,26.009,0.097
Frankie,F,F+OM,NoFood,26.851,26.995,26.986,26.944,0.081,20.690,20.678,20.775,20.714,0.053
Buffy,F,F+OM,Food,25.339,25.336,25.359,25.344,0.013,22.922,23.040,23.232,23.065,0.156
Willow,F,F+OM,Food,25.860,26.155,26.386,26.134,0.264,26.360,26.239,26.008,26.202,0.179
Spike,OM,F+OM,Food,24.768,24.924,25.228,24.973,0.234,25.838,25.829,25.728,25.798,0.061
R2D2,F,F+SM,NoFood,25.295,25.461,25.177,25.311,0.142,25.444,25.444,25.553,25.480,0.063
Leia,SM,F+SM,NoFood,26.634,26.604,26.545,26.594,0.046,25.298,25.455,25.382,25.378,0.079
Chewbacca,F,F+SM,NoFood,24.707,24.759,24.720,24.729,0.027,24.960,24.991,25.018,24.990,0.029
Kaylee,F,F+SM,Food,25.494,25.402,25.300,25.399,0.097,25.762,25.692,25.746,25.733,0.037
Zoe,F,F+SM,Food,25.480,25.552,25.242,25.424,0.162,25.461,25.665,25.676,25.601,0.121
Wash,SM,F+SM,Food,24.485,24.443,24.450,24.459,0.023,24.750,24.772,24.673,24.732,0.052
Sofi,F,F+OM,NoFood,25.307,25.296,25.230,25.278,0.042,24.858,24.849,24.809,24.839,0.026
Calcifer,F,F+OM,NoFood,25.169,25.308,25.097,25.191,0.107,24.080,24.295,24.337,24.237,0.138
Howl,OM,F+OM,NoFood,24.834,24.888,24.689,24.803,0.103,23.563,23.478,23.782,23.607,0.157
Markl,OM,F+OM,NoFood,24.139,24.301,24.240,24.226,0.082,25.222,25.372,25.366,25.320,0.085
Bloo,F,F+OM,Food,25.043,25.253,24.971,25.089,0.146,24.003,23.917,23.922,23.947,0.048
Wilt,OM,F+OM,Food,23.998,23.964,23.810,23.924,0.100,25.332,25.202,25.269,25.268,0.065
Coco,F,F+OM,Food,25.023,24.654,24.483,24.720,0.276,22.106,21.971,21.937,22.005,0.089
Eduardo,OM,F+OM,Food,23.079,22.962,22.950,22.997,0.072,24.643,24.896,24.634,24.724,0.149