Fish,MorphSex,PreSize_mm,PostSize_mm,Tank,Population,FoodCondition,Shelf Location,TotalTime_s,Day1_Chase,Day1_Chase_s,Day1_ParallelSwim_I,Day1_ParallelSwim_I_s,Day1_TransverseApproach,Day1_AttemptedCopulation,Day1_SexDisp_Cwrap,Day1_SexDisp_FrontShimmy,Day1_Nip,Day1_Charge,Day1_Stay,Day1_Backup,Day1_Retreat,Day1_Glide,Day1_Dart,Day1_ParallelSwim_R,Day1_ParallelSwim_R_s,Day1_Refuge,Day1_Refuge_s,Day1_OutofFrame,Day1_OutofFrame_s,Day14_Chase,Day14_Chase_s,Day14_ParallelSwim_I,Day14_ParallelSwim_I_s,Day14_TransverseApproach,Day14_AttemptedCopulation,Day14_SexDisp_Cwrap,Day14_SexDisp_FrontShimmy,Day14_Nip,Day14_Charge,Day14_Stay,Day14_Backup,Day14_Retreat,Day14_Glide,Day14_Dart,Day14_ParallelSwim_R,Day14_ParallelSwim_R_s,Day14_Refuge,Day14_Refuge_s,Day14_OutofFrame,Day14_OutofFrame_s
Bloo,F,27.45,28.26,FostersHome,F+OM,Food,Top,1199,0,0,0,0,0,0,0,0,1,0,20,35,13,2,38,8,18.749,25,350.469,11,304.738,5,13.841,1,0.752,1,0,0,0,1,18,58,63,14,0,127,14,18.272,11,32.11,21,316.434
Coco,F,23.2,23.95,FostersHome,F+OM,Food,Top,1199,0,0,0,0,0,1,0,0,0,1,4,3,3,0,4,4,6.273,17,718.117,17,109.678,0,0,0,0,0,0,0,0,0,0,15,8,14,0,69,8,7.028,9,42.955,24,416.091
Wilt,OM,36.2,36.62,FostersHome,F+OM,Food,Top,1199,5,7.81,19,52.974,35,0,21,50,0,22,0,1,0,0,0,0,0,37,147.538,11,53.245,6,11.257,24,29.926,89,0,122,45,1,27,0,0,0,0,0,0,0,34,75.557,60,227.015
Eduardo,OM,28.87,29.52,FostersHome,F+OM,Food,Top,1199,0,0,2,1.227,1,1,2,0,0,0,0,0,32,0,0,0,0,64,288.191,37,389.796,2,1.5,2,1.101,4,0,0,1,0,2,0,2,40,0,2,1,0.499,57,240.908,40,882.664
Wendy,F,23.57,23.05,MysteryShack,F+OM,NoFood,Bottom,1199,0,0,2,2.752,2,0,0,0,3,0,130,17,5,0,163,4,7.503,32,413.153,0,0,0,0,0,0,0,0,0,0,1,0,30,3,0,0,21,0,0,18,988.771,5,128.439
Mable,F,27.53,28.63,MysteryShack,F+OM,NoFood,Bottom,1199,0,0,0,0,0,0,0,0,1,0,39,2,8,1,64,5,6.252,33,707.957,0,0,0,0,0,0,0,0,0,0,0,0,41,15,0,0,44,3,5.071,26,351.14,6,249.519
Dipper,OM,32.12,32.3,MysteryShack,F+OM,NoFood,Bottom,1199,23,48.716,11,16.781,75,0,48,93,3,26,0,0,0,0,0,2,2.251,101,291.194,0,0,3,12.558,2,2.749,23,0,10,67,0,0,0,0,0,0,0,0,0,44,427.879,14,207.83
Waddles,OM,28.62,28.63,MysteryShack,F+OM,NoFood,Bottom,1199,0,0,0,0,0,0,0,0,0,0,8,2,47,0,8,0,0,48,791.822,0,0,0,0,1,4.002,2,0,0,1,0,0,0,1,8,0,3,0,0,12,951.691,1,160.902
Calcifer,F,31.29,31.73,HowlsMovingCastle,F+OM,NoFood,Top,1199,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2.506,29,363.609,31,357.682,0,0,1,2.754,0,0,0,0,0,0,10,2,1,0,11,5,9.753,26,247.262,17,241.308
Sofi,F,22.74,23.2,HowlsMovingCastle,F+OM,NoFood,Top,1199,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.25,2,20.011,8,1146.051,0,0,0,0,0,0,0,0,0,0,8,1,0,0,5,3,5.1,11,53.907,20,435.435
Howl,OM,40.3,38.67,HowlsMovingCastle,F+OM,NoFood,Top,1199,0,0,1,2.75,1,0,0,0,0,1,0,0,0,0,0,0,0,70,346.537,64,775.532,4,4.754,6,16.286,2,0,2,0,0,0,0,0,0,0,0,0,0,9,78.57,15,902.838
Markl,OM,30.49,30.12,HowlsMovingCastle,F+OM,NoFood,Top,1199,2,2.749,1,0.755,2,0,0,0,0,0,0,0,2,0,0,0,0,14,280.917,11,246.18,2,2.497,6,9.251,5,0,0,0,0,0,0,0,2,0,1,2,3.499,17,92.536,29,426.178
Lefty,F,24.54,24,Robinsons,F+OM,NoFood,Bottom,1199,0,0,0,0,6,0,0,1,1,0,41,11,3,1,61,6,7.763,11,49.92,51,756.636,0,0,0,0,1,0,1,7,0,0,14,1,0,0,14,0,0,12,130.135,7,879.61
Frankie,F,23.12,22.49,Robinsons,F+OM,NoFood,Bottom,1199,0,0,0,0,2,0,0,0,0,0,62,20,2,1,85,2,2.75,23,439.702,13,207.69,0,0,0,0,0,0,0,0,0,0,23,6,0,0,23,0,0,15,533.991,5,329.113
Goob,OM,28.5,30.22,Robinsons,F+OM,NoFood,Bottom,1199,1,2,13,20.316,58,0,0,95,0,0,1,0,0,0,0,0,0,40,201.004,15,99.803,0,0,0,0,10,0,6,36,0,0,1,0,0,0,0,0,0,22,228.926,12,413.869
Annabeth,F,31.1,32.16,CampHalfBlood,F+OM,Food,Top,1199,0,0,0,0,1,0,0,0,0,0,5,0,1,0,7,1,3.001,16,837.533,10,212.191,0,0,0,0,0,0,0,0,0,0,6,0,2,1,10,0,0,8,1188.28,0,0
Clairesse,F,25.01,26.33,CampHalfBlood,F+OM,Food,Top,1199,0,0,1,3.504,1,0,0,0,0,0,19,4,1,1,20,2,4.865,32,415.863,14,359.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1199
Nico,OM,34.14,35.03,CampHalfBlood,F+OM,Food,Top,1199,1,1.754,4,8.267,14,0,9,16,0,0,3,0,0,0,0,1,3.004,34,773.692,10,104.118,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,43,391.665,25,268.185
Percy,OM,26.97,27.45,CampHalfBlood,F+OM,Food,Top,1199,0,0,1,1.75,6,0,1,3,0,0,3,0,1,0,5,2,3.502,22,412.565,15,485.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1199
Toph,F,20.4,21.54,Appa,F+SM,Food,Bottom,1199,0,0,0,0,6,0,0,0,13,13,18,3,0,0,11,0,0,0,0,8,742.507,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,250.578,4,194.173
Katara,F,30.65,29.02,Appa,F+SM,Food,Bottom,1199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,44.359,9,970.214,0,0,4,3.252,5,0,0,0,0,0,3,0,0,0,0,1,1.501,130,199.936,151,678.657
Sokka,SM,25.57,25.39,Appa,F+SM,Food,Bottom,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21.265,8,1116.418,0,0,1,1.75,3,0,0,0,0,0,6,1,0,0,5,4,2.999,73,445.543,73,281.328
Aang,SM,20.1,dead,Appa,F+SM,Food,Bottom,1199,0,0,0,0,2,4,0,5,2,0,16,2,0,0,13,0,0,3,479.073,3,22.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheDoctor,F,27.94,28.3,TARDIS,F+SM,NoFood,Top,1199,14,33.803,1,1.5,2,0,0,2,3,4,2,2,0,0,1,0,0,13,390.443,23,349.035,0,0,0,0,1,0,0,3,0,0,2,0,0,0,1,0,0,8,182.702,6,583.311
RoseTyler,F,22.21,22.99,TARDIS,F+SM,NoFood,Top,1199,1,1.499,0,0,1,0,0,0,1,0,10,3,6,1,24,1,1.25,17,216.953,19,353.784,0,0,0,0,0,0,0,0,0,0,8,3,2,0,9,0,0,10,97.747,26,720.485
MickeySmith,SM,20.44,21.56,TARDIS,F+SM,NoFood,Top,1199,0,0,0,0,1,0,0,0,0,0,1,3,0,0,10,0,0,5,36.651,11,966.273,1,3.503,0,0,2,1,0,5,0,0,4,2,0,0,0,0,0,13,595.12,0,0
CaptainJackHarkness,SM,23.96,dead,TARDIS,F+SM,NoFood,Top,1199,0,0,0,0,2,3,0,2,0,0,4,7,1,0,14,0,0,11,469.944,8,94.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0